Australia,Brazil,China,India,South Africa,United States
28490.09717,68775.667,839338.4769,151957.21,46956.957,405142
27216.75092,66201.341,793779.548,145106.93,44471.218,395106
25788.96171,63569.992,742084.622,138902.94,43243.901,381127
24405.15179,61673.212,715309.0821,134991.91,42561.516,372749
23648.2934,59982.888,689171.8355,131827.61,42520.692,367788
23498.50204,59122.601,667319.8462,131118.46,42622.902,365800
24071.22993,56608.812,651050.1441,134146.12,43681.608,366421
25435.80679,54319.196,645516.8247,144260.72,45513.157,373106
26645.33537,54859.118,659972.1165,156076.98,47545.17,385002
26674.55985,56063.687,683805.1903,170830.51,49785.746,398175
26199.58875,57263.191,728350.6492,180245.79,51993.21,410278
25158.16654,58402.787,800801.9954,188529.51,52810.036,418042
24172.45247,59341.976,845354.8673,193496.24,53200.582,420024
23542.43115,59498.034,876211.0285,192258.27,53355.315,417422
23678.07224,59659.926,859805.0357,191065.65,53200.663,416288
24576.36953,60274.541,865333.8851,188193.9,52998.207,414039
26394.94225,60769.725,879123.4701,186111.47,53161.905,411904
28776.58611,61180.402,882055.7271,183506.32,53741.064,413712
31688.90728,62506.198,880177.8095,178410.15,53780.722,423386
33561.33375,66019.464,876639.5985,175353.45,53875.723,445597
33972.74772,69981.216,841649.7139,174597.34,54112.958,459245
33319.69671,71135.111,826856.0168,171070.67,55830.795,456816
32007.94681,71032.232,850362.7455,162935.62,54159.607,449048
30017.28418,70477.354,857689.1373,157788.52,49984.84,433943
28205.66952,68368.971,838190.0843,151723.2,47334.435,413417
27041.07839,65364.814,793367.5429,145366.21,45109.155,393543
25696.85365,62801.642,735489.241,138821.26,43992.265,379324
24387.25427,61019.643,709701.3938,134268.3,43479.942,372278
23543.41234,59939.919,684685.3502,131893.5,42840.374,370130
23489.27782,59725.169,663865.2385,131824.99,43277.835,371022
24078.67541,59559.253,648347.4843,135008.9,44288.508,379709
25317.94672,60596.411,643073.0922,144492.65,46072.26,401869
26531.53937,66136.487,656997.7965,155391.47,48071.956,440599
26988.16902,72615.996,679846.875,169363.63,50282.286,465819
26533.03607,75939.911,722009.5855,179704.69,52865.404,470063
25300.51436,77831.374,791140.5392,186922.67,53710.541,467842
24481.79936,77932.51,833689.4906,192417.86,54108.084,466193
24211.19257,76387.198,863379.5951,192197.78,54421.101,463686
24537.57766,79200.011,847570.9749,190625.41,54143.544,460570
25485.25215,80693.927,852175.4939,187100.74,54085.685,457310
27363.60553,80627.117,865417.5404,184631.7,54160.089,453945
29574.48617,79344.146,868377.9671,180364.96,54206.255,453004
31967.27341,74033.849,866756.6968,176836.41,54838.627,460260
33168.31285,71205.1,864111.5272,171929.04,54899.431,478286
33302.23988,74581.151,831019.4267,172079.26,54748.148,489051
32972.23032,76087.874,816526.1819,167967.82,55991.521,483487
31856.79131,77234.981,838730.2829,160173.68,54474.461,470954
30157.13659,75614.479,845729.8375,154993.94,50551.63,452103
28706.99341,72031.235,827240.6072,148967.91,47695.577,427946
27484.8881,68070.924,784495.3647,142679.5,45243.592,405373
25892.16404,64863.015,723391.1859,137208.92,43778.832,388951
24498.27068,62860.942,698470.8172,133503.48,43128.18,378710
23642.64758,61704.146,674382.292,130761.55,42833.205,372394
23417.35011,61411.755,654346.669,130410.08,43125.799,371392
23635.92951,61123.416,639469.7771,134335.68,44069.093,378468
24082.44748,61756.445,634556.4992,143981.65,46524.468,398230
24519.7688,66951.108,648397.4808,153869.86,48301.642,432475
24804.688,72729.222,670675.3188,165348.44,51081.493,456341
24615.94782,75756.956,710538.4678,176059.33,53371.198,459401
23919.16075,77730.961,776513.7232,186244.43,54427.267,457440
23448.27845,77739.11,817503.9361,190968.65,54317.279,456362
24223.10352,76402.972,846333.8029,188445.05,54403.038,453815
24857.22602,79705.257,831800.3828,185540.74,54365.255,450603
25539.60947,81922.359,836058.0896,179180.25,54282.912,449398
26700.8554,81980.645,848160.8145,173373.65,53941.01,447491
28585.55965,80791.823,850983.1777,169390.21,54235.578,447773
30923.15174,75672.398,849453.4501,165868.27,54203.056,454363
33059.05931,72543.241,847312.6731,160182.19,54062.491,470692
33698.65838,75975.892,816247.9227,160532.53,54867.644,482357
32975.53951,77398.061,801934.617,160016.48,56237.879,478198
31469.45152,78681.808,823334.5666,152818.4,54784.941,467065
29645.00212,77341.168,830066.5645,146590.73,50654.94,448847
28000.66414,73765.823,812177.4865,141454.08,46873.144,425068
26695.93068,69389.043,770608.8863,135813.07,44579.789,402149
25181.06738,66156.886,693810.6632,130793.09,43649.265,385481
23664.19801,63877.595,672127.7087,126664.68,43024.045,375958
22758.6035,62618.687,651256.6199,124202.36,42344.885,370927
22378.32183,62141.535,636117.0783,124703.72,42500.636,369152
22347.40449,61618.565,627986.1465,128070.4,43637.576,375936
22509.46198,62353.703,632448.6153,136978.6,45915.095,393322
22211.03423,67926.318,662004.5283,147634.21,47454.657,428339
21639.91941,74229.486,712549.7616,160109.11,50123.869,451516
20928.63118,77582.936,718906.1947,172267.71,52991.356,453287
20162.94502,79906.656,738980.6476,182016.4,54101.143,450067
19626.51782,80184.354,763005.5546,186558.67,54553.894,446595
19361.22584,78799.603,783434.5986,183833.44,54117.47,445444
19506.33928,82329.333,760906.3144,178502.08,53724.265,443110
20210.33881,84313.764,738757.9015,171983.52,53209.193,443401
21836.48179,83842.576,746514.5342,166516.56,53108.867,443858
24218.5771,82552.179,755962.2508,162790.09,52816.202,445968
26826.22608,77302.457,773080.6634,158925.7,52857.043,453617
29267.46115,73874.578,812582.4421,153579.67,52854.021,471512
30188.66857,77903.224,839775.2066,155174.33,52635.717,481523
30202.24402,78967.854,849807.9065,155086.99,54277.679,477170
